date,component,country,rolling_corr
2007-07-01,GDP,Australia,-0.19390647903078406
2007-10-01,GDP,Australia,-0.26664601996876336
2008-01-01,GDP,Australia,-0.11463687366944325
2008-04-01,GDP,Australia,0.2071637330201813
2008-07-01,GDP,Australia,0.3223558979015198
2008-10-01,GDP,Australia,0.3213518918941364
2009-01-01,GDP,Australia,0.36448518084015274
2009-04-01,GDP,Australia,0.3885693000905591
2009-07-01,GDP,Australia,0.4103853942054251
2009-10-01,GDP,Australia,0.4364983902011369
2010-01-01,GDP,Australia,0.4636839858075572
2010-04-01,GDP,Australia,0.4808277496418519
2010-07-01,GDP,Australia,0.48097684082551545
2010-10-01,GDP,Australia,0.4716448293269748
2011-01-01,GDP,Australia,0.43232660772824894
2011-04-01,GDP,Australia,0.3786402974788667
2011-07-01,GDP,Australia,0.3678127967168975
2011-10-01,GDP,Australia,0.3664998602444027
2012-01-01,GDP,Australia,0.3741144958237374
2012-04-01,GDP,Australia,0.395523108761653
2012-07-01,GDP,Australia,0.4521280632992105
2012-10-01,GDP,Australia,0.5311309104716762
2013-01-01,GDP,Australia,0.5324878467912727
2013-04-01,GDP,Australia,0.4464296578432689
2013-07-01,GDP,Australia,0.290950086190731
2013-10-01,GDP,Australia,0.3754025087726373
2014-01-01,GDP,Australia,0.3972097302652605
2014-04-01,GDP,Australia,0.45892905387509425
2014-07-01,GDP,Australia,0.42088141406577795
2014-10-01,GDP,Australia,0.41597017026757716
2015-01-01,GDP,Australia,0.2900263257281716
2015-04-01,GDP,Australia,0.31928037049608965
2015-07-01,GDP,Australia,0.2917548112154488
2015-10-01,GDP,Australia,0.32082819186181755
2016-01-01,GDP,Australia,0.4435065771379029
2016-04-01,GDP,Australia,0.5978279141992721
2016-07-01,GDP,Australia,0.6212265974206198
2016-10-01,GDP,Australia,0.5949147825628002
2017-01-01,GDP,Australia,0.5284800048593216
2017-04-01,GDP,Australia,0.41089547698982853
2017-07-01,GDP,Australia,0.47486275368580294
2017-10-01,GDP,Australia,0.5284517860793154
2018-01-01,GDP,Australia,0.6929986677675768
2018-04-01,GDP,Australia,0.8522137739291106
2018-07-01,GDP,Australia,0.8806541347668645
2018-10-01,GDP,Australia,0.8764569486700421
2019-01-01,GDP,Australia,0.8854835816307458
2019-04-01,GDP,Australia,0.8264905567466634
2019-07-01,GDP,Australia,0.7931523906813353
2019-10-01,GDP,Australia,0.8030657592541101
2020-01-01,GDP,Australia,0.7663992487156684
2020-04-01,GDP,Australia,0.8538679505542037
2020-07-01,GDP,Australia,0.8792592721483934
2020-10-01,GDP,Australia,0.8743739187411091
2021-01-01,GDP,Australia,0.8433761088623104
2021-04-01,GDP,Australia,0.8108127822377248
2021-07-01,GDP,Australia,0.8193837513917227
2021-10-01,GDP,Australia,0.7929278318796126
2022-01-01,GDP,Australia,0.7672263577348716
2022-04-01,GDP,Australia,0.7415558478759887
2022-07-01,GDP,Australia,0.7238686322144027
2022-10-01,GDP,Australia,0.7089366021909594
2023-01-01,GDP,Australia,0.6992648806967859
2023-04-01,GDP,Australia,0.6914812214314222
2023-07-01,GDP,Australia,0.6872736308898963
2023-10-01,GDP,Australia,0.6873243711312739
2024-01-01,GDP,Australia,0.6855022600893605
2024-04-01,GDP,Australia,0.6992754081497231
2024-07-01,GDP,Australia,0.7291567786594866
2024-10-01,GDP,Australia,0.744492460852644
2025-01-01,GDP,Australia,0.7489421665821181
2025-04-01,GDP,Australia,0.486030134725268
2025-07-01,GDP,Australia,0.2890469340542047
2025-10-01,GDP,Australia,0.10503905415819959
1975-01-01,GDP,China,NA
1975-04-01,GDP,China,NA
1975-07-01,GDP,China,NA
1975-10-01,GDP,China,NA
1976-01-01,GDP,China,NA
1976-04-01,GDP,China,NA
1976-07-01,GDP,China,NA
1976-10-01,GDP,China,NA
1977-01-01,GDP,China,NA
1977-04-01,GDP,China,NA
1977-07-01,GDP,China,NA
1977-10-01,GDP,China,NA
1978-01-01,GDP,China,NA
1978-04-01,GDP,China,NA
1978-07-01,GDP,China,NA
1978-10-01,GDP,China,NA
1979-01-01,GDP,China,NA
1979-04-01,GDP,China,NA
1979-07-01,GDP,China,NA
1979-10-01,GDP,China,NA
1980-01-01,GDP,China,NA
1980-04-01,GDP,China,NA
1980-07-01,GDP,China,NA
1980-10-01,GDP,China,NA
1981-01-01,GDP,China,NA
1981-04-01,GDP,China,NA
1981-07-01,GDP,China,NA
1981-10-01,GDP,China,NA
1982-01-01,GDP,China,NA
1982-04-01,GDP,China,NA
1982-07-01,GDP,China,NA
1982-10-01,GDP,China,NA
1983-01-01,GDP,China,NA
1983-04-01,GDP,China,NA
1983-07-01,GDP,China,NA
1983-10-01,GDP,China,NA
1984-01-01,GDP,China,NA
1984-04-01,GDP,China,NA
1984-07-01,GDP,China,NA
1984-10-01,GDP,China,NA
1985-01-01,GDP,China,NA
1985-04-01,GDP,China,NA
1985-07-01,GDP,China,NA
1985-10-01,GDP,China,NA
1986-01-01,GDP,China,NA
1986-04-01,GDP,China,NA
1986-07-01,GDP,China,NA
1986-10-01,GDP,China,NA
1987-01-01,GDP,China,NA
1987-04-01,GDP,China,NA
1987-07-01,GDP,China,NA
1987-10-01,GDP,China,NA
1988-01-01,GDP,China,NA
1988-04-01,GDP,China,NA
1988-07-01,GDP,China,NA
1988-10-01,GDP,China,NA
1989-01-01,GDP,China,NA
1989-04-01,GDP,China,NA
1989-07-01,GDP,China,NA
1989-10-01,GDP,China,NA
1990-01-01,GDP,China,NA
1990-04-01,GDP,China,NA
1990-07-01,GDP,China,NA
1990-10-01,GDP,China,NA
1991-01-01,GDP,China,NA
1991-04-01,GDP,China,NA
1991-07-01,GDP,China,0.9916143837050554
1991-10-01,GDP,China,0.9766325704380183
1992-01-01,GDP,China,0.9405159180056525
1992-04-01,GDP,China,0.905091353219367
1992-07-01,GDP,China,0.8736703459120422
1992-10-01,GDP,China,0.87228154586403
1993-01-01,GDP,China,0.8407934263950522
1993-04-01,GDP,China,0.733292815392711
1993-07-01,GDP,China,0.7295415632227975
1993-10-01,GDP,China,0.7094659216609233
1994-01-01,GDP,China,0.7140287843385735
1994-04-01,GDP,China,0.7263656260144035
1994-07-01,GDP,China,0.6953427420831194
1994-10-01,GDP,China,0.6047778482094636
1995-01-01,GDP,China,0.5997500587267911
1995-04-01,GDP,China,0.6014281501256341
1995-07-01,GDP,China,0.616534970612199
1995-10-01,GDP,China,0.6187261052600984
1996-01-01,GDP,China,0.6235535882957474
1996-04-01,GDP,China,0.5572748197421162
1996-07-01,GDP,China,0.5360686661694295
1996-10-01,GDP,China,0.5529892554707554
1997-01-01,GDP,China,0.6013393412781236
1997-04-01,GDP,China,0.588419147686136
1997-07-01,GDP,China,0.5470724852826315
1997-10-01,GDP,China,0.5106236985186252
1998-01-01,GDP,China,0.4587080879853567
1998-04-01,GDP,China,0.4791453264326732
1998-07-01,GDP,China,0.5216982754646246
1998-10-01,GDP,China,0.2935464200475319
1999-01-01,GDP,China,0.3685087967417661
1999-04-01,GDP,China,0.4394627202361989
1999-07-01,GDP,China,0.5129412806106506
1999-10-01,GDP,China,0.5355079061158518
2000-01-01,GDP,China,0.5431913565502524
2000-04-01,GDP,China,0.5531325405992649
2000-07-01,GDP,China,0.5670939252731877
2000-10-01,GDP,China,0.5649596976532848
2001-01-01,GDP,China,0.5603105249916055
2001-04-01,GDP,China,0.5394956153697733
2001-07-01,GDP,China,0.4946776871095213
2001-10-01,GDP,China,0.3987762178709354
2002-01-01,GDP,China,0.28012631407078104
2002-04-01,GDP,China,0.07695014480840391
2002-07-01,GDP,China,-0.13520063924456177
2002-10-01,GDP,China,-0.6156675837698999
2003-01-01,GDP,China,-0.5820108088428091
2003-04-01,GDP,China,-0.6279754218749255
2003-07-01,GDP,China,-0.6190791282366646
2003-10-01,GDP,China,-0.22864884480074257
2004-01-01,GDP,China,-0.2027634295683509
2004-04-01,GDP,China,-0.3724654825988394
2004-07-01,GDP,China,-0.5111949496959544
2004-10-01,GDP,China,-0.4046978012315538
2005-01-01,GDP,China,-0.4044163607398252
2005-04-01,GDP,China,-0.38587130484035065
2005-07-01,GDP,China,-0.2903306681225863
2005-10-01,GDP,China,-0.2923876389757026
2006-01-01,GDP,China,-0.23217944943021449
2006-04-01,GDP,China,-0.27818857266450453
2006-07-01,GDP,China,-0.35066778755595623
2006-10-01,GDP,China,-0.45757382929673834
2007-01-01,GDP,China,-0.3320851055813438
2007-04-01,GDP,China,-0.29163911106531687
2007-07-01,GDP,China,-0.31372784137321863
2007-10-01,GDP,China,-0.4242806133601103
2008-01-01,GDP,China,-0.33088496686817576
2008-04-01,GDP,China,-0.00907281310029587
2008-07-01,GDP,China,0.03712357365060343
2008-10-01,GDP,China,2.4266949079741678e-4
2009-01-01,GDP,China,0.07206130820139256
2009-04-01,GDP,China,0.08815666013462635
2009-07-01,GDP,China,0.06614528078748878
2009-10-01,GDP,China,0.1696141741326043
2010-01-01,GDP,China,0.19497500557213396
2010-04-01,GDP,China,0.25175202377785616
2010-07-01,GDP,China,0.2609695496152124
2010-10-01,GDP,China,0.2719851702469219
2011-01-01,GDP,China,0.27049818517468255
2011-04-01,GDP,China,0.241612209428497
2011-07-01,GDP,China,0.2123277125233981
2011-10-01,GDP,China,0.20966685887916045
2012-01-01,GDP,China,0.1975151157959862
2012-04-01,GDP,China,0.2075741839060759
2012-07-01,GDP,China,0.2417313720865906
2012-10-01,GDP,China,0.4038923697145766
2013-01-01,GDP,China,0.3990296351165637
2013-04-01,GDP,China,0.16654969642381842
2013-07-01,GDP,China,0.11210982037878595
2013-10-01,GDP,China,0.3440859684389736
2014-01-01,GDP,China,0.02495824673174801
2014-04-01,GDP,China,-0.25413098141302026
2014-07-01,GDP,China,-0.15633348612331754
2014-10-01,GDP,China,-0.03729542882955098
2015-01-01,GDP,China,0.12313106864464783
2015-04-01,GDP,China,0.21672394575216286
2015-07-01,GDP,China,0.29474072170317983
2015-10-01,GDP,China,0.3049504572031647
2016-01-01,GDP,China,0.35225320365593005
2016-04-01,GDP,China,0.39759921882168936
2016-07-01,GDP,China,0.5600057859445479
2016-10-01,GDP,China,0.6284457401606564
2017-01-01,GDP,China,0.5545917996858176
2017-04-01,GDP,China,0.5768068518475402
2017-07-01,GDP,China,0.631183209905187
2017-10-01,GDP,China,0.7067255922950434
2018-01-01,GDP,China,0.8200338275666124
2018-04-01,GDP,China,0.9384629461177045
2018-07-01,GDP,China,0.8771991326950789
2018-10-01,GDP,China,0.8971886401114684
2019-01-01,GDP,China,0.9197150527238175
2019-04-01,GDP,China,0.9347698944467706
2019-07-01,GDP,China,0.8453393320837627
2019-10-01,GDP,China,0.8397668252043214
2020-01-01,GDP,China,0.05023432591783709
2020-04-01,GDP,China,0.04680994230321261
2020-07-01,GDP,China,0.031036436679718185
2020-10-01,GDP,China,-0.02921241004947805
2021-01-01,GDP,China,-0.061935019858547755
2021-04-01,GDP,China,-0.1084906795263842
2021-07-01,GDP,China,-0.11544055615921128
2021-10-01,GDP,China,-0.12548064530498604
2022-01-01,GDP,China,-0.1273342104164988
2022-04-01,GDP,China,-0.11657917786838151
2022-07-01,GDP,China,-0.11382259274621698
2022-10-01,GDP,China,-0.11204561688563824
2023-01-01,GDP,China,-0.11970113216796073
2023-04-01,GDP,China,-0.13713105470138692
2023-07-01,GDP,China,-0.14873497253262966
2023-10-01,GDP,China,-0.16578308476434145
2024-01-01,GDP,China,-0.21507638755663247
2024-04-01,GDP,China,-0.296595929974471
2024-07-01,GDP,China,-0.3819741513394723
2024-10-01,GDP,China,-0.47128165253679866
2025-01-01,GDP,China,-0.32717384614172035
2025-04-01,GDP,China,-0.6027518705768273
2025-07-01,GDP,China,-0.6795547787625684
2025-10-01,GDP,China,-0.6069177506184937
1975-01-01,GDP,India,NA
1975-04-01,GDP,India,NA
1975-07-01,GDP,India,NA
1975-10-01,GDP,India,NA
1976-01-01,GDP,India,NA
1976-04-01,GDP,India,NA
1976-07-01,GDP,India,NA
1976-10-01,GDP,India,NA
1977-01-01,GDP,India,NA
1977-04-01,GDP,India,NA
1977-07-01,GDP,India,NA
1977-10-01,GDP,India,NA
1978-01-01,GDP,India,NA
1978-04-01,GDP,India,NA
1978-07-01,GDP,India,NA
1978-10-01,GDP,India,NA
1979-01-01,GDP,India,NA
1979-04-01,GDP,India,NA
1979-07-01,GDP,India,NA
1979-10-01,GDP,India,NA
1980-01-01,GDP,India,NA
1980-04-01,GDP,India,NA
1980-07-01,GDP,India,NA
1980-10-01,GDP,India,NA
1981-01-01,GDP,India,NA
1981-04-01,GDP,India,NA
1981-07-01,GDP,India,NA
1981-10-01,GDP,India,NA
1982-01-01,GDP,India,NA
1982-04-01,GDP,India,NA
1982-07-01,GDP,India,NA
1982-10-01,GDP,India,NA
1983-01-01,GDP,India,NA
1983-04-01,GDP,India,NA
1983-07-01,GDP,India,NA
1983-10-01,GDP,India,NA
1984-01-01,GDP,India,NA
1984-04-01,GDP,India,NA
1984-07-01,GDP,India,NA
1984-10-01,GDP,India,NA
1985-01-01,GDP,India,NA
1985-04-01,GDP,India,NA
1985-07-01,GDP,India,NA
1985-10-01,GDP,India,NA
1986-01-01,GDP,India,NA
1986-04-01,GDP,India,NA
1986-07-01,GDP,India,NA
1986-10-01,GDP,India,NA
1987-01-01,GDP,India,NA
1987-04-01,GDP,India,NA
1987-07-01,GDP,India,NA
1987-10-01,GDP,India,NA
1988-01-01,GDP,India,NA
1988-04-01,GDP,India,NA
1988-07-01,GDP,India,NA
1988-10-01,GDP,India,NA
1989-01-01,GDP,India,NA
1989-04-01,GDP,India,NA
1989-07-01,GDP,India,NA
1989-10-01,GDP,India,NA
1990-01-01,GDP,India,NA
1990-04-01,GDP,India,NA
1990-07-01,GDP,India,NA
1990-10-01,GDP,India,NA
1991-01-01,GDP,India,NA
1991-04-01,GDP,India,NA
1991-07-01,GDP,India,NA
1991-10-01,GDP,India,NA
1992-01-01,GDP,India,NA
1992-04-01,GDP,India,NA
1992-07-01,GDP,India,NA
1992-10-01,GDP,India,NA
1993-01-01,GDP,India,NA
1993-04-01,GDP,India,NA
1993-07-01,GDP,India,NA
1993-10-01,GDP,India,NA
1994-01-01,GDP,India,NA
1994-04-01,GDP,India,NA
1994-07-01,GDP,India,NA
1994-10-01,GDP,India,NA
1995-01-01,GDP,India,NA
1995-04-01,GDP,India,NA
1995-07-01,GDP,India,NA
1995-10-01,GDP,India,NA
1996-01-01,GDP,India,NA
1996-04-01,GDP,India,NA
1996-07-01,GDP,India,NA
1996-10-01,GDP,India,0.32281453877062843
1997-01-01,GDP,India,0.3338279849925851
1997-04-01,GDP,India,0.03349863833282026
1997-07-01,GDP,India,-0.34863696680635875
1997-10-01,GDP,India,-0.32887443495240964
1998-01-01,GDP,India,-0.2690049692832657
1998-04-01,GDP,India,-0.11500095092113428
1998-07-01,GDP,India,-0.03693757641964187
1998-10-01,GDP,India,-0.046769584049522105
1999-01-01,GDP,India,-0.1081933740337729
1999-04-01,GDP,India,-0.21907562556074198
1999-07-01,GDP,India,-0.2748695161409001
1999-10-01,GDP,India,-0.31346035843551584
2000-01-01,GDP,India,-0.3221100768488051
2000-04-01,GDP,India,-0.33533020707303907
2000-07-01,GDP,India,-0.3422587546379178
2000-10-01,GDP,India,-0.3395352027635505
2001-01-01,GDP,India,-0.32359292926666694
2001-04-01,GDP,India,-0.3568787429571412
2001-07-01,GDP,India,-0.3002735428650711
2001-10-01,GDP,India,-0.42025888095763275
2002-01-01,GDP,India,-0.4751225543158958
2002-04-01,GDP,India,-0.42697689631058966
2002-07-01,GDP,India,-0.26056718366514464
2002-10-01,GDP,India,-0.29377520230267923
2003-01-01,GDP,India,-0.37630743581655335
2003-04-01,GDP,India,-0.44320099783709044
2003-07-01,GDP,India,-0.5331854204245399
2003-10-01,GDP,India,-0.6694499940079908
2004-01-01,GDP,India,-0.704679429486768
2004-04-01,GDP,India,-0.6848784929318625
2004-07-01,GDP,India,-0.7120880818426598
2004-10-01,GDP,India,-0.7788970344343146
2005-01-01,GDP,India,-0.6971385434774773
2005-04-01,GDP,India,-0.5939052980243752
2005-07-01,GDP,India,-0.4629034023741588
2005-10-01,GDP,India,-0.4549525480845709
2006-01-01,GDP,India,-0.4676771160708545
2006-04-01,GDP,India,-0.4632745210857665
2006-07-01,GDP,India,-0.505543771312988
2006-10-01,GDP,India,-0.459693556060515
2007-01-01,GDP,India,-0.4079077898409804
2007-04-01,GDP,India,-0.4069762639074332
2007-07-01,GDP,India,-0.3856462288511786
2007-10-01,GDP,India,-0.5888366848638913
2008-01-01,GDP,India,-0.42839420516734916
2008-04-01,GDP,India,-0.16221797666448853
2008-07-01,GDP,India,-0.12804269722342349
2008-10-01,GDP,India,-0.12765537309927147
2009-01-01,GDP,India,0.04008110019344855
2009-04-01,GDP,India,0.09712378412337351
2009-07-01,GDP,India,0.11065725752880927
2009-10-01,GDP,India,0.18377024397719557
2010-01-01,GDP,India,0.20317625262360625
2010-04-01,GDP,India,0.20158106651038016
2010-07-01,GDP,India,0.1975702833466212
2010-10-01,GDP,India,0.1990631892175044
2011-01-01,GDP,India,0.19320217079128846
2011-04-01,GDP,India,0.16672641927532536
2011-07-01,GDP,India,0.18174790847994524
2011-10-01,GDP,India,0.18632311286966763
2012-01-01,GDP,India,0.1879622695713415
2012-04-01,GDP,India,0.18087835095604296
2012-07-01,GDP,India,0.1917404100885177
2012-10-01,GDP,India,0.31769913928514154
2013-01-01,GDP,India,0.293971962226097
2013-04-01,GDP,India,0.20121739537789182
2013-07-01,GDP,India,0.2561058502158987
2013-10-01,GDP,India,0.39471778390145706
2014-01-01,GDP,India,0.1718545121409034
2014-04-01,GDP,India,0.04262236896335628
2014-07-01,GDP,India,0.03213433644734038
2014-10-01,GDP,India,0.0804710542604819
2015-01-01,GDP,India,0.22780436403803395
2015-04-01,GDP,India,0.24962931259800217
2015-07-01,GDP,India,0.25443012772429313
2015-10-01,GDP,India,0.23984085877040895
2016-01-01,GDP,India,0.16165593417849028
2016-04-01,GDP,India,0.0627577865463674
2016-07-01,GDP,India,-0.015688731675312765
2016-10-01,GDP,India,-0.06980664696563683
2017-01-01,GDP,India,-0.17817894572880805
2017-04-01,GDP,India,-0.043690222769443024
2017-07-01,GDP,India,0.17855964027397195
2017-10-01,GDP,India,0.3495905485456849
2018-01-01,GDP,India,0.5523389653725631
2018-04-01,GDP,India,0.7015189009033138
2018-07-01,GDP,India,0.7804458236986733
2018-10-01,GDP,India,0.8275191855067364
2019-01-01,GDP,India,0.8630759634005135
2019-04-01,GDP,India,0.8639123554704646
2019-07-01,GDP,India,0.8467485520454628
2019-10-01,GDP,India,0.8482621592320815
2020-01-01,GDP,India,0.852443361852152
2020-04-01,GDP,India,0.8727522278068677
2020-07-01,GDP,India,0.8746694054597621
2020-10-01,GDP,India,0.8201324547191546
2021-01-01,GDP,India,0.7916763363748458
2021-04-01,GDP,India,0.80681591469306
2021-07-01,GDP,India,0.7945562799412356
2021-10-01,GDP,India,0.7826799644788895
2022-01-01,GDP,India,0.7803776912225031
2022-04-01,GDP,India,0.7800760813992116
2022-07-01,GDP,India,0.7791664556585194
2022-10-01,GDP,India,0.7778126488983002
2023-01-01,GDP,India,0.7751728022751998
2023-04-01,GDP,India,0.7702565921850691
2023-07-01,GDP,India,0.7644192790201428
2023-10-01,GDP,India,0.7570890978355818
2024-01-01,GDP,India,0.7491195276743259
2024-04-01,GDP,India,0.7423822853811604
2024-07-01,GDP,India,0.7508893507707772
2024-10-01,GDP,India,0.7647930883018669
2025-01-01,GDP,India,0.7711583954488862
2025-04-01,GDP,India,0.49431477109528366
2025-07-01,GDP,India,0.3859982513039343
2025-10-01,GDP,India,0.5225318948746909
1975-01-01,GDP,Japan,NA
1975-04-01,GDP,Japan,NA
1975-07-01,GDP,Japan,NA
1975-10-01,GDP,Japan,NA
1976-01-01,GDP,Japan,NA
1976-04-01,GDP,Japan,NA
1976-07-01,GDP,Japan,NA
1976-10-01,GDP,Japan,NA
1977-01-01,GDP,Japan,NA
1977-04-01,GDP,Japan,NA
1977-07-01,GDP,Japan,NA
1977-10-01,GDP,Japan,NA
1978-01-01,GDP,Japan,NA
1978-04-01,GDP,Japan,NA
1978-07-01,GDP,Japan,NA
1978-10-01,GDP,Japan,NA
1979-01-01,GDP,Japan,NA
1979-04-01,GDP,Japan,NA
1979-07-01,GDP,Japan,NA
1979-10-01,GDP,Japan,NA
1980-01-01,GDP,Japan,NA
1980-04-01,GDP,Japan,NA
1980-07-01,GDP,Japan,NA
1980-10-01,GDP,Japan,NA
1981-01-01,GDP,Japan,NA
1981-04-01,GDP,Japan,NA
1981-07-01,GDP,Japan,NA
1981-10-01,GDP,Japan,NA
1982-01-01,GDP,Japan,NA
1982-04-01,GDP,Japan,NA
1982-07-01,GDP,Japan,NA
1982-10-01,GDP,Japan,NA
1983-01-01,GDP,Japan,NA
1983-04-01,GDP,Japan,NA
1983-07-01,GDP,Japan,NA
1983-10-01,GDP,Japan,NA
1984-01-01,GDP,Japan,NA
1984-04-01,GDP,Japan,NA
1984-07-01,GDP,Japan,NA
1984-10-01,GDP,Japan,NA
1985-01-01,GDP,Japan,NA
1985-04-01,GDP,Japan,NA
1985-07-01,GDP,Japan,NA
1985-10-01,GDP,Japan,NA
1986-01-01,GDP,Japan,NA
1986-04-01,GDP,Japan,NA
1986-07-01,GDP,Japan,NA
1986-10-01,GDP,Japan,NA
1987-01-01,GDP,Japan,NA
1987-04-01,GDP,Japan,NA
1987-07-01,GDP,Japan,0.1351519773263872
1987-10-01,GDP,Japan,-0.6304331941538402
1988-01-01,GDP,Japan,-0.8050479564763744
1988-04-01,GDP,Japan,-0.6008698153928704
1988-07-01,GDP,Japan,-0.6215943227782852
1988-10-01,GDP,Japan,-0.600011694518672
1989-01-01,GDP,Japan,-0.351259336554941
1989-04-01,GDP,Japan,-0.341391327569828
1989-07-01,GDP,Japan,-0.3484018884666993
1989-10-01,GDP,Japan,-0.3831195244308091
1990-01-01,GDP,Japan,-0.3879211948611657
